# Name         	     pericenter[kpc]   	     apocenter[kpc]    	       Jr[kpc*km/s]    	       Jz[kpc*km/s]    	      Jphi[kpc*km/s]   	    Energy[km^2/s^2]   
NGC_6273_M_19  	   0.35	   0.51	   0.65	   4.44	   4.50	   4.64	    165	    170	    177	    290	    291	    293	     50	     81	    108	-203687	-202746	-201226
NGC_6284       	   0.28	   0.35	   0.42	   6.26	   6.66	   6.99	    335	    378	    414	    254	    277	    304	     17	     58	     90	-189598	-186576	-184078
NGC_6287       	   0.11	   0.19	   0.29	   5.38	   5.50	   5.65	    299	    306	    315	    198	    242	    283	    -61	    -23	     10	-197257	-196488	-195086
NGC_6293       	   0.27	   0.34	   0.43	   2.77	   3.03	   3.31	    103	    110	    119	    154	    155	    157	     52	     77	    100	-224723	-221688	-218271
NGC_6304       	   1.46	   1.58	   1.68	   2.78	   2.88	   3.01	     20	     23	     25	     40	     43	     45	   -397	   -369	   -344	-225711	-223289	-220996
NGC_6316       	   0.77	   0.97	   1.19	   3.85	   4.27	   4.69	    126	    131	    135	     80	     85	     91	   -338	   -266	   -204	-218121	-212301	-206830
NGC_6341_M_92  	   0.25	   0.36	   0.46	  10.54	  10.60	  10.68	    644	    653	    661	    391	    408	    428	    -65	    -49	    -32	-165058	-164682	-164324
NGC_6325       	   0.36	   0.69	   1.03	   1.84	   2.04	   2.29	      6	     23	     51	    118	    147	    178	     52	    107	    158	-236051	-234817	-231580
NGC_6333_M_9   	   0.77	   0.81	   0.86	   7.98	   8.11	   8.27	    413	    430	    443	    227	    230	    232	   -275	   -261	   -250	-178971	-178170	-177300
NGC_6342       	   0.69	   0.83	   0.93	   1.96	   1.98	   2.02	     10	     14	     24	    153	    167	    174	   -112	   -103	    -94	-234660	-233921	-232702
NGC_6356       	   2.50	   3.64	   5.07	   7.83	   8.93	  10.53	    143	    174	    198	    231	    262	    305	  -1271	   -938	   -685	-175727	-166897	-156655
NGC_6355       	   0.15	   0.26	   0.34	   2.45	   2.57	   2.75	     82	     85	     90	    144	    153	    161	     22	     47	     68	-232150	-229053	-225902
NGC_6352       	   3.09	   3.11	   3.13	   4.03	   4.10	   4.18	      9	     10	     12	     27	     27	     28	   -749	   -739	   -729	-201045	-200367	-199784
IC_1257        	   0.23	   0.56	   1.14	  18.09	  20.13	  21.21	   1283	   1606	   1770	    110	    119	    129	      4	    188	    487	-140601	-135733	-133269
Terzan_2_HP_3  	   0.23	   0.34	   0.47	   0.76	   0.97	   1.30	      2	     16	     39	     13	     16	     21	     56	     65	     69	-270666	-268245	-263120
NGC_6366       	   2.05	   2.09	   2.13	   5.92	   5.99	   6.03	    126	    129	    132	     75	     77	     79	   -646	   -634	   -620	-192163	-191757	-191270
Terzan_4_HP_4  	   0.24	   0.26	   0.29	   0.66	   0.83	   1.07	      7	     13	     22	     21	     22	     24	    -58	    -44	    -33	-276569	-271839	-265952
HP_1_BH_229    	   0.25	   0.28	   0.33	   1.85	   1.94	   2.02	     36	     43	     50	    198	    206	    212	      1	      7	     13	-238065	-236246	-234746
FSR_1758       	   3.09	   3.55	   4.16	  12.40	  14.83	  18.72	    448	    558	    764	    172	    211	    273	   1030	   1178	   1372	-155262	-146674	-135679
NGC_6362       	   2.57	   2.64	   2.71	   5.28	   5.30	   5.32	     53	     55	     58	    256	    260	    266	   -554	   -547	   -537	-189878	-189527	-189105
Liller_1       	   0.08	   0.19	   0.34	   0.91	   0.96	   1.09	     14	     28	     52	      1	      1	      2	     11	     42	     69	-273789	-272827	-269628
NGC_6380_Ton1  	   0.28	   0.34	   0.37	   2.19	   2.39	   2.57	    107	    118	    131	     23	     23	     23	     50	     63	     74	-245321	-241333	-238077
Terzan_1_HP_2  	   0.59	   0.67	   0.77	   2.44	   2.60	   2.80	     81	     84	     87	      1	      1	      1	   -234	   -203	   -178	-239892	-236925	-233358
Ton2_Pismis26  	   1.51	   1.67	   1.79	   3.26	   3.48	   3.78	     38	     40	     47	    105	    108	    110	   -442	   -391	   -347	-214414	-211435	-208050
NGC_6388       	   1.21	   1.23	   1.26	   4.11	   4.21	   4.34	    111	    120	    129	     69	     69	     70	    324	    331	    339	-212515	-211207	-209838
NGC_6402_M_14  	   0.48	   0.55	   0.65	   4.00	   4.06	   4.16	    138	    142	    146	    162	    167	    174	   -179	   -156	   -139	-212169	-210924	-208785
NGC_6401       	   0.13	   0.20	   0.34	   2.46	   2.50	   2.54	    108	    128	    138	     55	     60	     66	    -38	     14	     72	-235709	-235030	-233656
NGC_6397       	   2.41	   2.44	   2.46	   6.29	   6.31	   6.32	    120	    121	    122	    181	    185	    189	   -647	   -637	   -628	-184864	-184721	-184580
VVV_CL002      	   0.11	   0.25	   0.50	   2.79	   3.59	   5.12	     33	     81	    197	    198	    220	    259	    -81	    -14	     38	-223867	-214099	-199424
Pal_6          	   0.05	   0.08	   0.14	   2.28	   3.10	   3.62	    107	    134	    173	     90	    103	    110	     -6	     11	     16	-238205	-231377	-224269
NGC_6426       	   3.75	   4.05	   4.49	  16.97	  17.35	  17.96	    654	    675	    695	    196	    202	    210	  -1533	  -1393	  -1307	-140424	-139082	-136880
Djorg_1        	   0.88	   1.22	   1.59	   7.91	  11.47	  15.79	    469	    705	    990	     19	     20	     22	   -737	   -538	   -366	-183325	-163613	-147210
Terzan_5_11    	   0.24	   0.30	   0.33	   1.67	   1.79	   1.90	     63	     68	     71	      6	      7	      7	    -94	    -82	    -66	-256444	-253384	-251050
NGC_6440       	   0.11	   0.16	   0.25	   1.31	   1.32	   1.35	     39	     47	     57	     38	     38	     39	     15	     33	     54	-258555	-258257	-257279
NGC_6441       	   1.70	   1.86	   1.99	   4.70	   4.89	   5.07	    114	    119	    123	     48	     49	     49	   -558	   -520	   -473	-203948	-201416	-199297
Terzan_6_HP_5  	   0.32	   0.34	   0.36	   1.01	   1.29	   1.75	     17	     32	     61	      7	     10	     13	     71	     83	     87	-267177	-261549	-253964
NGC_6453       	   0.29	   0.34	   0.39	   2.36	   2.57	   2.81	     71	     82	     90	    146	    158	    172	    -70	    -61	    -52	-231215	-227530	-223638
UKS_1          	   0.20	   0.36	   0.52	   7.58	   8.24	   8.79	    580	    606	    625	     11	     16	     22	   -227	   -145	    -71	-187266	-182623	-178737
VVV_CL001      	   0.22	   0.78	   1.18	   3.52	   4.68	   7.06	    130	    252	    483	     12	     15	     40	     25	    234	    383	-222876	-210483	-189642
Gran_1         	   0.24	   0.62	   1.00	   1.61	   2.86	   4.62	     35	     59	    181	     90	     95	    104	   -263	   -148	    -34	-247505	-226765	-207543
Pfleiderer_2   	   3.71	   5.58	   6.61	   9.56	  11.73	  24.03	     81	    216	    867	    115	    120	    131	  -2223	  -1638	  -1170	-161520	-151186	-123134
NGC_6496       	   2.32	   2.44	   2.56	   5.25	   5.52	   5.89	     75	     81	     92	    166	    169	    171	   -657	   -616	   -580	-192413	-189987	-187148
Terzan_9       	   0.29	   0.38	   0.50	   2.36	   2.65	   2.98	    104	    114	    124	     11	     13	     14	   -162	   -120	    -88	-242707	-237535	-231968
Djorg_2_ESO456 	   0.60	   0.70	   0.83	   1.30	   1.38	   1.55	      9	     11	     14	     31	     31	     33	    119	    142	    172	-255700	-252836	-248409
NGC_6517       	   0.45	   0.48	   0.52	   3.41	   3.62	   3.90	    137	    152	    171	     61	     65	     68	   -145	   -134	   -127	-225658	-222809	-218916
Terzan_10      	   0.62	   0.77	   1.02	   5.54	   6.78	   7.94	    244	    307	    361	    201	    261	    328	   -255	   -219	   -187	-196483	-185786	-177658
NGC_6522       	   0.44	   0.58	   0.68	   1.32	   1.43	   1.52	      9	     10	     11	    100	    101	    102	    -99	    -80	    -55	-251523	-248223	-245566
NGC_6535       	   1.02	   1.08	   1.13	   4.59	   4.65	   4.72	    171	    182	    195	     53	     56	     58	    287	    300	    312	-208159	-207924	-207532
NGC_6528       	   0.16	   0.18	   0.20	   1.68	   1.80	   2.07	     49	     56	     68	     57	     65	     71	    -55	    -45	    -37	-250023	-248508	-245508
NGC_6539       	   2.03	   2.15	   2.34	   3.37	   3.51	   3.77	     13	     14	     15	    228	    248	    283	   -361	   -343	   -334	-207687	-205525	-201639
NGC_6540_Djorg 	   0.96	   1.16	   1.31	   2.07	   2.34	   2.57	     22	     25	     27	     21	     23	     25	   -322	   -274	   -223	-241122	-234980	-230196
NGC_6544       	   0.37	   0.44	   0.52	   5.73	   5.78	   5.85	    325	    333	    340	     40	     43	     45	   -195	   -169	   -139	-201093	-200592	-200004
NGC_6541       	   1.34	   1.37	   1.39	   4.08	   4.12	   4.17	     86	     88	     91	    165	    173	    178	   -324	   -320	   -317	-205852	-205279	-204673
ESO280_SC06    	   0.71	   1.21	   1.65	  13.33	  14.20	  14.84	    807	    841	    877	    253	    279	    317	   -552	   -401	   -242	-155014	-151527	-149118
NGC_6553       	   2.68	   2.80	   2.94	   3.73	   3.84	   3.95	     12	     13	     14	      5	      6	      6	   -720	   -688	   -659	-207618	-205850	-203950
NGC_6558       	   0.15	   0.25	   0.34	   1.65	   1.82	   2.12	     43	     53	     69	     72	     86	    106	    -81	    -52	    -26	-246401	-243771	-239567
IC_1276_Pal_7  	   3.56	   3.63	   3.75	   6.97	   7.36	   7.83	     90	    104	    121	     15	     16	     18	  -1162	  -1104	  -1062	-179424	-176924	-173841
Terzan_12      	   1.64	   1.79	   1.95	   3.46	   3.84	   4.24	     54	     63	     71	     40	     43	     46	   -523	   -458	   -401	-216251	-211535	-206731
NGC_6569       	   1.73	   1.97	   2.30	   2.59	   2.81	   3.15	      8	      8	      9	     88	     89	     90	   -478	   -398	   -347	-221090	-216974	-211047
BH_261_AL_3    	   1.36	   1.52	   1.85	   2.98	   3.38	   3.78	     25	     34	     44	     72	     76	     81	   -456	   -386	   -335	-219499	-216242	-212178
NGC_6584       	   1.87	   2.04	   2.29	  21.10	  21.91	  22.95	   1271	   1319	   1378	    381	    390	    399	   -740	   -677	   -629	-132312	-130467	-128214
Mercer_5       	   2.02	   2.07	   2.18	   5.45	   5.95	   6.62	    132	    159	    190	      0	      0	      0	   -748	   -688	   -652	-198043	-193945	-188524
NGC_6624       	   0.36	   0.40	   0.44	   1.41	   1.44	   1.46	      7	      8	     10	    152	    153	    154	    -28	    -26	    -25	-247483	-247093	-246703
NGC_6626_M_28  	   0.48	   0.50	   0.54	   2.91	   2.97	   3.07	    111	    113	    116	     59	     61	     63	   -159	   -146	   -138	-227527	-226795	-225620
NGC_6638       	   0.12	   0.14	   0.18	   2.12	   2.44	   2.75	     88	    113	    130	     90	     91	     93	    -38	    -31	    -26	-239090	-234689	-231036
NGC_6637_M_69  	   0.93	   0.99	   1.06	   1.80	   1.84	   1.88	      1	      1	      2	    220	    222	    225	    -74	    -64	    -56	-234541	-233471	-232084
NGC_6642       	   0.05	   0.10	   0.16	   2.05	   2.06	   2.08	     83	     95	    103	     58	     60	     63	     -3	     18	     41	-243951	-243717	-243371
NGC_6652       	   0.30	   0.31	   0.33	   2.99	   3.13	   3.25	     80	     84	     87	    251	    257	    263	    -36	    -27	    -19	-220449	-218681	-216886
NGC_6656_M_22  	   2.84	   2.87	   2.90	   9.91	   9.98	  10.04	    303	    312	    318	    138	    144	    147	   -933	   -923	   -913	-165470	-165209	-165009
Pal_8          	   0.97	   1.28	   1.77	   3.82	   4.29	   4.86	    101	    110	    114	     72	     74	     77	   -491	   -349	   -255	-217263	-210108	-202091
NGC_6681_M_70  	   0.29	   0.36	   0.40	   5.83	   5.98	   6.10	    306	    323	    334	    305	    309	    312	     -8	     -2	      5	-192177	-190934	-190039
Ryu_879_RLGC2  	   0.74	   1.82	   2.50	   9.70	  11.64	  17.20	    498	    599	    855	    202	    295	    391	   -830	   -356	    181	-169378	-159530	-141310
NGC_6712       	   0.06	   0.16	   0.23	   4.97	   5.32	   5.53	    275	    290	    303	    142	    155	    172	     -9	     16	     45	-204254	-203803	-202974
NGC_6715_M_54  	  14.37	  14.76	  15.21	  44.29	  46.32	  49.04	   1162	   1248	   1367	   4001	   4075	   4200	  -1112	  -1028	   -924	 -92603	 -90876	 -88500
NGC_6717_Pal9  	   0.95	   0.98	   1.00	   2.36	   2.38	   2.40	     24	     25	     26	    111	    114	    118	   -206	   -199	   -194	-229228	-229016	-228766
NGC_6723       	   1.34	   1.36	   1.40	   3.53	   3.56	   3.59	     36	     38	     40	    444	    468	    493	    -56	    -38	    -21	-207463	-207145	-206752
NGC_6749       	   1.50	   1.56	   1.64	   4.92	   4.96	   5.02	    140	    145	    149	      4	      4	      4	   -536	   -514	   -499	-204893	-204171	-203342
NGC_6752       	   3.30	   3.37	   3.42	   5.49	   5.51	   5.52	     32	     34	     36	    118	    121	    123	   -830	   -820	   -808	-186990	-186590	-186344
NGC_6760       	   1.90	   1.96	   2.05	   5.63	   5.85	   6.02	    139	    161	    177	     14	     15	     16	   -661	   -647	   -632	-195570	-194262	-193061
NGC_6779_M_56  	   0.91	   1.01	   1.07	  13.01	  13.15	  13.30	    771	    784	    798	    269	    287	    303	    307	    335	    354	-156009	-155115	-154545
Terzan_7       	  14.20	  14.63	  15.15	  47.34	  51.56	  55.72	   1367	   1562	   1753	   4193	   4344	   4489	   -994	   -881	   -782	 -90276	 -87024	 -83889
Pal_10         	   5.55	   6.30	   7.47	   9.47	  11.42	  17.90	     82	    120	    342	     11	     14	     18	  -2469	  -1891	  -1625	-160267	-151247	-132480
Arp_2          	  17.57	  17.97	  18.36	  49.66	  51.65	  54.50	   1155	   1230	   1354	   4493	   4576	   4696	  -1520	  -1395	  -1298	 -86841	 -85239	 -83272
NGC_6809_M_55  	   1.09	   1.10	   1.13	   6.03	   6.07	   6.15	    224	    227	    230	    293	    298	    304	   -237	   -231	   -225	-189281	-188951	-188369
Terzan_8       	  17.10	  17.66	  18.17	  55.56	  59.74	  64.33	   1532	   1711	   1935	   4968	   5114	   5297	  -1162	  -1075	   -940	 -83191	 -80421	 -77643
Pal_11         	   4.16	   4.96	   5.72	   8.32	   8.81	   9.24	     60	     81	    100	    198	    207	    217	  -1389	  -1231	  -1072	-168421	-163751	-159540
NGC_6838_M_71  	   4.89	   4.97	   5.04	   7.05	   7.06	   7.07	     28	     30	     33	     15	     16	     16	  -1338	  -1326	  -1312	-173118	-172675	-172373
NGC_6864_M_75  	   0.63	   0.87	   1.09	  15.79	  16.31	  16.78	   1068	   1086	   1098	    315	    322	    332	   -361	   -277	   -192	-146634	-145019	-143471
NGC_6934       	   2.76	   2.93	   3.16	  42.73	  44.37	  45.91	   2877	   2982	   3069	    175	    179	    185	  -1460	  -1382	  -1309	 -99951	 -98277	 -96721
NGC_6981_M_72  	   0.22	   0.36	   0.51	  22.45	  22.88	  23.31	   1795	   1836	   1870	    322	    324	    327	    -72	    -27	     10	-130278	-129405	-128549
NGC_7006       	   1.56	   2.01	   2.55	  50.57	  51.54	  52.33	   3574	   3759	   3881	    304	    420	    565	    536	    700	    908	 -92738	 -91990	 -91307
Laevens_3      	   8.98	  12.43	  16.72	  72.86	  76.18	  79.17	   2822	   3491	   3927	   1575	   2517	   3790	  -3678	  -2439	  -1315	 -75747	 -73492	 -71508
Segue_3        	  20.79	  24.15	  27.26	  27.18	  28.32	  29.44	      7	     25	     72	    444	    489	    564	  -5608	  -5209	  -4736	-103262	 -99307	 -95893
NGC_7078_M_15  	   3.95	   4.04	   4.14	  10.72	  10.76	  10.83	    232	    237	    244	    238	    241	    246	  -1145	  -1128	  -1111	-159077	-158714	-158329
